,id,gender,race,age,path,class_label
0,000001,female,Asian,45,/opt/ml/input/data/train/images/000001_female_Asian_45/mask5.jpg,4
1,000001,female,Asian,45,/opt/ml/input/data/train/images/000001_female_Asian_45/normal.jpg,16
2,000001,female,Asian,45,/opt/ml/input/data/train/images/000001_female_Asian_45/incorrect_mask.jpg,10
3,000001,female,Asian,45,/opt/ml/input/data/train/images/000001_female_Asian_45/mask1.jpg,4
4,000001,female,Asian,45,/opt/ml/input/data/train/images/000001_female_Asian_45/mask4.jpg,4
5,000001,female,Asian,45,/opt/ml/input/data/train/images/000001_female_Asian_45/mask2.jpg,4
6,000001,female,Asian,45,/opt/ml/input/data/train/images/000001_female_Asian_45/mask3.jpg,4
7,000002,female,Asian,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask5.jpg,4
8,000002,female,Asian,52,/opt/ml/input/data/train/images/000002_female_Asian_52/normal.jpg,16
9,000002,female,Asian,52,/opt/ml/input/data/train/images/000002_female_Asian_52/incorrect_mask.jpg,10
10,000002,female,Asian,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask1.jpg,4
11,000002,female,Asian,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask4.jpg,4
12,000002,female,Asian,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask2.jpg,4
13,000002,female,Asian,52,/opt/ml/input/data/train/images/000002_female_Asian_52/mask3.jpg,4
14,000004,male,Asian,54,/opt/ml/input/data/train/images/000004_male_Asian_54/mask5.jpg,1
15,000004,male,Asian,54,/opt/ml/input/data/train/images/000004_male_Asian_54/normal.jpg,13
16,000004,male,Asian,54,/opt/ml/input/data/train/images/000004_male_Asian_54/incorrect_mask.jpg,7
17,000004,male,Asian,54,/opt/ml/input/data/train/images/000004_male_Asian_54/mask1.jpg,1
18,000004,male,Asian,54,/opt/ml/input/data/train/images/000004_male_Asian_54/mask4.jpg,1
19,000004,male,Asian,54,/opt/ml/input/data/train/images/000004_male_Asian_54/mask2.jpg,1
20,000004,male,Asian,54,/opt/ml/input/data/train/images/000004_male_Asian_54/mask3.jpg,1
21,000005,female,Asian,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask5.jpg,4
22,000005,female,Asian,58,/opt/ml/input/data/train/images/000005_female_Asian_58/normal.jpg,16
23,000005,female,Asian,58,/opt/ml/input/data/train/images/000005_female_Asian_58/incorrect_mask.jpg,10
24,000005,female,Asian,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask1.jpg,4
25,000005,female,Asian,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask4.jpg,4
26,000005,female,Asian,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask2.jpg,4
27,000005,female,Asian,58,/opt/ml/input/data/train/images/000005_female_Asian_58/mask3.jpg,4
28,000006,female,Asian,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask5.jpg,4
29,000006,female,Asian,59,/opt/ml/input/data/train/images/000006_female_Asian_59/normal.jpg,16
30,000006,female,Asian,59,/opt/ml/input/data/train/images/000006_female_Asian_59/incorrect_mask.jpg,10
31,000006,female,Asian,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask1.jpg,4
32,000006,female,Asian,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask4.jpg,4
33,000006,female,Asian,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask2.jpg,4
34,000006,female,Asian,59,/opt/ml/input/data/train/images/000006_female_Asian_59/mask3.jpg,4
35,000007,female,Asian,58,/opt/ml/input/data/train/images/000007_female_Asian_58/mask5.jpg,4
36,000007,female,Asian,58,/opt/ml/input/data/train/images/000007_female_Asian_58/normal.jpg,16
37,000007,female,Asian,58,/opt/ml/input/data/train/images/000007_female_Asian_58/incorrect_mask.jpg,10
38,000007,female,Asian,58,/opt/ml/input/data/train/images/000007_female_Asian_58/mask1.jpg,4
39,000007,female,Asian,58,/opt/ml/input/data/train/images/000007_female_Asian_58/mask4.jpg,4
40,000007,female,Asian,58,/opt/ml/input/data/train/images/000007_female_Asian_58/mask2.jpg,4
41,000007,female,Asian,58,/opt/ml/input/data/train/images/000007_female_Asian_58/mask3.jpg,4
42,000008,female,Asian,58,/opt/ml/input/data/train/images/000008_female_Asian_58/mask5.jpg,4
43,000008,female,Asian,58,/opt/ml/input/data/train/images/000008_female_Asian_58/normal.jpg,16
44,000008,female,Asian,58,/opt/ml/input/data/train/images/000008_female_Asian_58/incorrect_mask.jpg,10
45,000008,female,Asian,58,/opt/ml/input/data/train/images/000008_female_Asian_58/mask1.jpg,4
46,000008,female,Asian,58,/opt/ml/input/data/train/images/000008_female_Asian_58/mask4.jpg,4
47,000008,female,Asian,58,/opt/ml/input/data/train/images/000008_female_Asian_58/mask2.jpg,4
48,000008,female,Asian,58,/opt/ml/input/data/train/images/000008_female_Asian_58/mask3.jpg,4
49,000010,female,Asian,58,/opt/ml/input/data/train/images/000010_female_Asian_58/mask5.jpg,4
50,000010,female,Asian,58,/opt/ml/input/data/train/images/000010_female_Asian_58/normal.jpg,16
51,000010,female,Asian,58,/opt/ml/input/data/train/images/000010_female_Asian_58/incorrect_mask.jpg,10
52,000010,female,Asian,58,/opt/ml/input/data/train/images/000010_female_Asian_58/mask1.jpg,4
